,County,Candidate,Party,Share,Votes,Election Day,Mail,Provisional
138,LACKAWANNA,"SOLOSKI, JOSEPH P",LIB,2.24%,"2,497",1763,681,53
139,LACKAWANNA,"RUNKLE, TIMOTHY",GRN,1.27%,"1,414",842,547,25
140,LANCASTER,"TORSELLA, JOSEPH M",DEM,37.06%,"101,861",44862,55104,1895
141,LANCASTER,"GARRITY, STACY L",REP,59.48%,"163,477",130837,30074,2566
142,LANCASTER,"SOLOSKI, JOSEPH P",LIB,2.27%,"6,229",4487,1596,146
143,LANCASTER,"RUNKLE, TIMOTHY",GRN,1.20%,"3,292",1880,1323,89
144,LAWRENCE,"TORSELLA, JOSEPH M",DEM,36.92%,"16,634",8723,7763,148
145,LAWRENCE,"GARRITY, STACY L",REP,59.90%,"26,984",22682,4087,215
146,LAWRENCE,"SOLOSKI, JOSEPH P",LIB,2.19%,988,778,202,8
147,LAWRENCE,"RUNKLE, TIMOTHY",GRN,0.99%,446,283,156,7
148,LEBANON,"TORSELLA, JOSEPH M",DEM,30.86%,"21,668",8626,12553,489
149,LEBANON,"GARRITY, STACY L",REP,65.42%,"45,942",36798,8360,784
150,LEBANON,"SOLOSKI, JOSEPH P",LIB,2.30%,"1,617",1206,380,31
151,LEBANON,"RUNKLE, TIMOTHY",GRN,1.42%,998,576,396,26
152,LEHIGH,"TORSELLA, JOSEPH M",DEM,50.77%,"91,616",36787,53458,1371
153,LEHIGH,"GARRITY, STACY L",REP,45.56%,"82,222",62021,18949,1252
154,LEHIGH,"SOLOSKI, JOSEPH P",LIB,2.48%,"4,473",3062,1323,88
155,LEHIGH,"RUNKLE, TIMOTHY",GRN,1.20%,"2,157",1153,954,50
156,LUZERNE,"TORSELLA, JOSEPH M",DEM,44.51%,"65,889",27151,37635,1103
157,LUZERNE,"GARRITY, STACY L",REP,52.22%,"77,304",60089,15653,1562
158,LUZERNE,"SOLOSKI, JOSEPH P",LIB,2.20%,"3,261",2299,899,63
159,LUZERNE,"RUNKLE, TIMOTHY",GRN,1.06%,"1,568",885,656,27
160,LYCOMING,"TORSELLA, JOSEPH M",DEM,27.29%,"15,951",8473,7252,226
161,LYCOMING,"GARRITY, STACY L",REP,69.58%,"40,665",35193,4926,546
162,LYCOMING,"SOLOSKI, JOSEPH P",LIB,2.20%,"1,284",967,292,25
163,LYCOMING,"RUNKLE, TIMOTHY",GRN,0.93%,541,335,199,7
164,McKEAN,"TORSELLA, JOSEPH M",DEM,23.79%,"4,543",2509,2034,0
165,McKEAN,"GARRITY, STACY L",REP,72.88%,"13,921",12019,1902,0
166,McKEAN,"SOLOSKI, JOSEPH P",LIB,2.27%,433,352,81,0
167,McKEAN,"RUNKLE, TIMOTHY",GRN,1.06%,203,137,66,0
168,MERCER,"TORSELLA, JOSEPH M",DEM,35.11%,"19,940",10315,9143,482
169,MERCER,"GARRITY, STACY L",REP,61.47%,"34,913",29136,5075,702
170,MERCER,"SOLOSKI, JOSEPH P",LIB,2.19%,"1,245",982,237,26
171,MERCER,"RUNKLE, TIMOTHY",GRN,1.23%,700,478,193,29
172,MIFFLIN,"TORSELLA, JOSEPH M",DEM,20.71%,"4,371",1999,2339,33
173,MIFFLIN,"GARRITY, STACY L",REP,76.11%,"16,065",13668,2271,126
174,MIFFLIN,"SOLOSKI, JOSEPH P",LIB,2.11%,446,340,102,4
175,MIFFLIN,"RUNKLE, TIMOTHY",GRN,1.07%,225,160,61,4
176,MONROE,"TORSELLA, JOSEPH M",DEM,50.73%,"41,036",16940,23355,741
177,MONROE,"GARRITY, STACY L",REP,45.50%,"36,803",28318,7861,624
178,MONROE,"SOLOSKI, JOSEPH P",LIB,2.33%,"1,888",1268,587,33
179,MONROE,"RUNKLE, TIMOTHY",GRN,1.44%,"1,167",562,589,16
180,MONTGOMERY,"TORSELLA, JOSEPH M",DEM,59.08%,"297,179",109559,185491,2129
181,MONTGOMERY,"GARRITY, STACY L",REP,37.70%,"189,613",140334,47741,1538
182,MONTGOMERY,"SOLOSKI, JOSEPH P",LIB,2.06%,"10,370",6798,3487,85
183,MONTGOMERY,"RUNKLE, TIMOTHY",GRN,1.16%,"5,855",2718,3086,51
184,MONTOUR,"TORSELLA, JOSEPH M",DEM,36.96%,"3,561",1592,1948,21
185,MONTOUR,"GARRITY, STACY L",REP,59.34%,"5,717",4542,1125,50
186,MONTOUR,"SOLOSKI, JOSEPH P",LIB,2.57%,248,176,71,1
187,MONTOUR,"RUNKLE, TIMOTHY",GRN,1.13%,109,64,44,1
188,NORTHAMPTON,"TORSELLA, JOSEPH M",DEM,47.99%,"79,191",28114,50295,782
189,NORTHAMPTON,"GARRITY, STACY L",REP,48.43%,"79,907",59405,19620,882
190,NORTHAMPTON,"SOLOSKI, JOSEPH P",LIB,2.40%,"3,963",2402,1485,76
191,NORTHAMPTON,"RUNKLE, TIMOTHY",GRN,1.18%,"1,946",919,1009,18
192,NORTHUMBERLAND,"TORSELLA, JOSEPH M",DEM,29.56%,"12,282",6847,5233,202
193,NORTHUMBERLAND,"GARRITY, STACY L",REP,66.58%,"27,664",23760,3450,454
194,NORTHUMBERLAND,"SOLOSKI, JOSEPH P",LIB,2.61%,"1,083",844,213,26
195,NORTHUMBERLAND,"RUNKLE, TIMOTHY",GRN,1.26%,522,358,152,12
196,PERRY,"TORSELLA, JOSEPH M",DEM,22.40%,"5,444",2638,2770,36
197,PERRY,"GARRITY, STACY L",REP,73.78%,"17,928",15305,2470,153
198,PERRY,"SOLOSKI, JOSEPH P",LIB,2.58%,626,495,125,6
199,PERRY,"RUNKLE, TIMOTHY",GRN,1.24%,302,189,108,5
200,PHILADELPHIA,"TORSELLA, JOSEPH M",DEM,79.61%,"561,438",230546,320332,10560
201,PHILADELPHIA,"GARRITY, STACY L",REP,17.41%,"122,763",89814,30777,2172
202,PHILADELPHIA,"SOLOSKI, JOSEPH P",LIB,1.47%,"10,390",5880,4266,244
203,PHILADELPHIA,"RUNKLE, TIMOTHY",GRN,1.50%,"10,602",3928,6512,162
204,PIKE,"TORSELLA, JOSEPH M",DEM,37.37%,"11,965",3831,7984,150
205,PIKE,"GARRITY, STACY L",REP,59.26%,"18,973",14058,4683,232
206,PIKE,"SOLOSKI, JOSEPH P",LIB,2.03%,650,423,213,14
207,PIKE,"RUNKLE, TIMOTHY",GRN,1.34%,430,204,219,7
208,POTTER,"TORSELLA, JOSEPH M",DEM,16.86%,"1,498",802,683,13
209,POTTER,"GARRITY, STACY L",REP,80.63%,"7,165",6250,823,92
210,POTTER,"SOLOSKI, JOSEPH P",LIB,1.81%,161,127,32,2
211,POTTER,"RUNKLE, TIMOTHY",GRN,0.70%,62,46,14,2
212,SCHUYLKILL,"TORSELLA, JOSEPH M",DEM,29.77%,"20,685",11331,9082,272
213,SCHUYLKILL,"GARRITY, STACY L",REP,66.32%,"46,088",39377,6044,667
214,SCHUYLKILL,"SOLOSKI, JOSEPH P",LIB,2.53%,"1,757",1393,346,18
215,SCHUYLKILL,"RUNKLE, TIMOTHY",GRN,1.39%,963,673,281,9
216,SNYDER,"TORSELLA, JOSEPH M",DEM,23.51%,"4,416",2149,2237,30
217,SNYDER,"GARRITY, STACY L",REP,73.14%,"13,737",11726,1883,128
218,SNYDER,"SOLOSKI, JOSEPH P",LIB,2.05%,385,282,99,4
219,SNYDER,"RUNKLE, TIMOTHY",GRN,1.30%,245,168,76,1
220,SOMERSET,"TORSELLA, JOSEPH M",DEM,22.54%,"9,046",5167,3778,101
221,SOMERSET,"GARRITY, STACY L",REP,74.89%,"30,050",26151,3570,329
222,SOMERSET,"SOLOSKI, JOSEPH P",LIB,1.83%,733,560,163,10
223,SOMERSET,"RUNKLE, TIMOTHY",GRN,0.74%,296,191,100,5
