County,Candidate,Party,Share,Votes
PERRY,"DUMAS, LORI A",DEM,11.66%,"2,047"
PERRY,"SPURGEON, DAVID LEE",DEM,10.39%,"1,824"
PERRY,"WALLACE, STACY MARIE",REP,39.44%,"6,926"
PERRY,"CROMPTON, DREW",REP,38.52%,"6,765"
PHILADELPHIA,"DUMAS, LORI A",DEM,41.84%,"169,706"
PHILADELPHIA,"SPURGEON, DAVID LEE",DEM,38.55%,"156,345"
PHILADELPHIA,"WALLACE, STACY MARIE",REP,9.99%,"40,539"
PHILADELPHIA,"CROMPTON, DREW",REP,9.62%,"39,023"
PIKE,"DUMAS, LORI A",DEM,20.73%,"4,783"
PIKE,"SPURGEON, DAVID LEE",DEM,18.03%,"4,162"
PIKE,"WALLACE, STACY MARIE",REP,31.54%,"7,278"
PIKE,"CROMPTON, DREW",REP,29.70%,"6,855"
POTTER,"DUMAS, LORI A",DEM,11.26%,841
POTTER,"SPURGEON, DAVID LEE",DEM,10.33%,772
POTTER,"WALLACE, STACY MARIE",REP,40.42%,"3,020"
POTTER,"CROMPTON, DREW",REP,37.99%,"2,838"
SCHUYLKILL,"DUMAS, LORI A",DEM,17.26%,"9,672"
SCHUYLKILL,"SPURGEON, DAVID LEE",DEM,14.29%,"8,009"
SCHUYLKILL,"WALLACE, STACY MARIE",REP,36.05%,"20,198"
SCHUYLKILL,"CROMPTON, DREW",REP,32.40%,"18,151"
SNYDER,"DUMAS, LORI A",DEM,12.81%,"1,851"
SNYDER,"SPURGEON, DAVID LEE",DEM,11.61%,"1,678"
SNYDER,"WALLACE, STACY MARIE",REP,38.65%,"5,584"
SNYDER,"CROMPTON, DREW",REP,36.92%,"5,334"
SOMERSET,"DUMAS, LORI A",DEM,12.62%,"4,350"
SOMERSET,"SPURGEON, DAVID LEE",DEM,11.25%,"3,878"
SOMERSET,"WALLACE, STACY MARIE",REP,39.74%,"13,698"
SOMERSET,"CROMPTON, DREW",REP,36.38%,"12,539"
SULLIVAN,"DUMAS, LORI A",DEM,15.05%,502
SULLIVAN,"SPURGEON, DAVID LEE",DEM,13.25%,442
SULLIVAN,"WALLACE, STACY MARIE",REP,37.54%,"1,252"
SULLIVAN,"CROMPTON, DREW",REP,34.15%,"1,139"
SUSQUEHANNA,"DUMAS, LORI A",DEM,15.25%,"2,326"
SUSQUEHANNA,"SPURGEON, DAVID LEE",DEM,13.27%,"2,024"
SUSQUEHANNA,"WALLACE, STACY MARIE",REP,37.10%,"5,657"
SUSQUEHANNA,"CROMPTON, DREW",REP,34.38%,"5,243"
TIOGA,"DUMAS, LORI A",DEM,12.58%,"1,998"
TIOGA,"SPURGEON, DAVID LEE",DEM,10.73%,"1,705"
TIOGA,"WALLACE, STACY MARIE",REP,38.95%,"6,188"
TIOGA,"CROMPTON, DREW",REP,37.74%,"5,996"
UNION,"DUMAS, LORI A",DEM,19.43%,"3,205"
UNION,"SPURGEON, DAVID LEE",DEM,17.28%,"2,851"
UNION,"WALLACE, STACY MARIE",REP,32.47%,"5,358"
UNION,"CROMPTON, DREW",REP,30.82%,"5,085"
VENANGO,"DUMAS, LORI A",DEM,16.04%,"2,822"
VENANGO,"SPURGEON, DAVID LEE",DEM,14.39%,"2,532"
VENANGO,"WALLACE, STACY MARIE",REP,36.23%,"6,374"
VENANGO,"CROMPTON, DREW",REP,33.33%,"5,864"
WARREN,"DUMAS, LORI A",DEM,16.45%,"2,417"
WARREN,"SPURGEON, DAVID LEE",DEM,14.15%,"2,079"
WARREN,"WALLACE, STACY MARIE",REP,35.92%,"5,278"
WARREN,"CROMPTON, DREW",REP,33.48%,"4,920"
WASHINGTON,"DUMAS, LORI A",DEM,21.65%,"19,277"
WASHINGTON,"SPURGEON, DAVID LEE",DEM,19.59%,"17,445"
WASHINGTON,"WALLACE, STACY MARIE",REP,30.58%,"27,227"
WASHINGTON,"CROMPTON, DREW",REP,28.17%,"25,083"
WAYNE,"DUMAS, LORI A",DEM,17.06%,"3,527"
WAYNE,"SPURGEON, DAVID LEE",DEM,14.59%,"3,017"
WAYNE,"WALLACE, STACY MARIE",REP,35.25%,"7,288"
WAYNE,"CROMPTON, DREW",REP,33.09%,"6,842"
WESTMORELAND,"DUMAS, LORI A",DEM,20.24%,"30,723"
WESTMORELAND,"SPURGEON, DAVID LEE",DEM,18.32%,"27,814"
WESTMORELAND,"WALLACE, STACY MARIE",REP,32.47%,"49,298"
WESTMORELAND,"CROMPTON, DREW",REP,28.97%,"43,982"
WYOMING,"DUMAS, LORI A",DEM,15.65%,"1,867"
WYOMING,"SPURGEON, DAVID LEE",DEM,13.18%,"1,573"
WYOMING,"WALLACE, STACY MARIE",REP,37.86%,"4,517"
WYOMING,"CROMPTON, DREW",REP,33.31%,"3,974"
YORK,"DUMAS, LORI A",DEM,18.78%,"28,905"
YORK,"SPURGEON, DAVID LEE",DEM,16.63%,"25,585"
YORK,"WALLACE, STACY MARIE",REP,32.94%,"50,685"
YORK,"CROMPTON, DREW",REP,31.65%,"48,702"
